"dateEndOfInteraction","dateStartOfInteraction","endOfInteraction","startOfInteraction","subjectID","ID"
"17/04/2024","17/04/2024","16:22:00","16:20:31","rr16",""
"17/04/2024","17/04/2024","16:25:03","16:23:00","rr16",""
"17/04/2024","17/04/2024","16:26:37","16:25:42","rr16",""
"17/04/2024","17/04/2024","16:35:38","16:34:35","rr16",""
"17/04/2024","17/04/2024","16:46:14","16:44:16","rr16",""
"17/04/2024","17/04/2024","16:49:15","16:48:50","rr16",""
"17/04/2024","17/04/2024","16:51:32","16:49:17","rr16",""
"17/04/2024","17/04/2024","16:52:28","16:51:38","rr16",""
"17/04/2024","17/04/2024","16:54:19","16:52:32","rr16",""
"17/04/2024","17/04/2024","16:54:41","16:54:22","rr16",""
"17/04/2024","17/04/2024","16:56:43","16:54:56","rr16",""
"17/04/2024","17/04/2024","16:58:34","16:57:10","rr16",""
"17/04/2024","17/04/2024","17:00:03","16:58:50","rr16",""
"17/04/2024","17/04/2024","17:08:00","17:07:09","rr16",""
"17/04/2024","17/04/2024","17:09:51","17:08:28","rr16",""
"17/04/2024","17/04/2024","17:13:22","17:09:57","rr16",""
"17/04/2024","17/04/2024","17:15:58","17:13:26","rr16",""
"17/04/2024","17/04/2024","17:17:43","17:16:29","rr16",""
"17/04/2024","17/04/2024","17:19:41","17:17:44","rr16",""
"17/04/2024","17/04/2024","17:24:11","17:20:27","rr16",""
"17/04/2024","17/04/2024","17:27:45","17:24:40","rr16",""
"17/04/2024","17/04/2024","17:28:43","17:27:57","rr16",""
"17/04/2024","17/04/2024","17:30:43","17:29:42","rr16",""
"17/04/2024","17/04/2024","17:31:00","17:30:49","rr16",""
"17/04/2024","17/04/2024","17:37:04","17:31:01","rr16",""
"17/04/2024","17/04/2024","17:38:20","17:37:36","rr16",""
"17/04/2024","17/04/2024","17:41:28","17:39:53","rr16",""
"17/04/2024","17/04/2024","17:45:49","17:42:34","rr16",""
"17/04/2024","17/04/2024","17:47:09","17:45:59","rr16",""
"17/04/2024","17/04/2024","17:48:54","17:47:31","rr16",""
"17/04/2024","17/04/2024","17:51:18","17:48:55","rr16",""
"17/04/2024","17/04/2024","17:53:58","17:53:23","rr16",""
"17/04/2024","17/04/2024","17:57:35","17:54:53","rr16",""
"17/04/2024","17/04/2024","17:59:22","17:57:38","rr16",""
"17/04/2024","17/04/2024","18:00:00","17:59:30","rr16",""
"17/04/2024","17/04/2024","18:01:06","18:00:04","rr16",""
"17/04/2024","17/04/2024","18:02:35","18:01:54","rr16",""
"15/04/2024","15/04/2024","17:45:48","17:41:34","sm07",""
"15/04/2024","15/04/2024","18:32:24","17:46:21","sm07",""
"15/04/2024","15/04/2024","19:02:04","18:32:37","sm07",""
"15/04/2024","15/04/2024","19:35:00","19:02:04","sm07",""
"15/04/2024","15/04/2024","19:37:37","19:35:44","sm07",""
"15/04/2024","15/04/2024","20:06:51","20:06:10","sm07",""
"15/04/2024","15/04/2024","21:38:59","21:32:22","sm07",""
"15/04/2024","15/04/2024","22:04:43","21:59:37","sm07",""
"15/04/2024","15/04/2024","22:25:41","22:18:15","sm07",""
"16/04/2024","16/04/2024","10:21:36","10:08:28","sm07",""
"16/04/2024","16/04/2024","10:33:52","10:22:57","sm07",""
"16/04/2024","16/04/2024","11:22:24","10:40:01","sm07",""
"16/04/2024","16/04/2024","12:28:44","11:49:03","sm07",""
"16/04/2024","16/04/2024","15:19:07","13:09:57","sm07",""
"16/04/2024","16/04/2024","16:26:24","15:19:12","sm07",""
"16/04/2024","16/04/2024","21:19:56","21:10:01","sm07",""
"16/04/2024","16/04/2024","21:27:31","21:20:55","sm07",""
"16/04/2024","16/04/2024","21:32:20","21:28:19","sm07",""
"17/04/2024","17/04/2024","08:28:31","08:11:12","sm07",""
"17/04/2024","17/04/2024","15:58:52","15:51:12","sm07",""
"17/04/2024","17/04/2024","19:22:43","16:22:46","sm07",""
"17/04/2024","17/04/2024","19:52:45","19:22:46","sm07",""
"17/04/2024","17/04/2024","20:42:41","19:54:46","sm07",""
"17/04/2024","17/04/2024","21:04:28","20:49:57","sm07",""
"17/04/2024","17/04/2024","21:10:56","21:08:57","sm07",""
"17/04/2024","17/04/2024","21:19:43","21:16:10","sm07",""
"17/04/2024","17/04/2024","21:39:38","21:21:11","sm07",""
"17/04/2024","17/04/2024","21:40:21","21:40:02","sm07",""
"17/04/2024","17/04/2024","21:59:08","21:54:30","sm07",""
"18/04/2024","18/04/2024","08:50:48","08:41:44","sm07",""
"18/04/2024","18/04/2024","09:13:55","09:12:17","sm07",""
"18/04/2024","18/04/2024","09:47:31","09:16:00","sm07",""
"18/04/2024","18/04/2024","13:11:05","12:50:04","sm07",""
"18/04/2024","18/04/2024","18:58:30","18:56:27","sm07",""
"18/04/2024","18/04/2024","19:09:25","19:03:55","sm07",""
"19/04/2024","19/04/2024","09:17:27","08:51:48","sm07",""
"19/04/2024","19/04/2024","15:22:39","15:22:15","sm07",""
"19/04/2024","19/04/2024","20:16:48","20:12:58","sm07",""
"19/04/2024","19/04/2024","20:21:59","20:18:20","sm07",""
"19/04/2024","19/04/2024","20:23:28","20:23:01","sm07",""
"19/04/2024","19/04/2024","20:25:08","20:24:42","sm07",""
"19/04/2024","19/04/2024","20:41:45","20:30:44","sm07",""
"19/04/2024","19/04/2024","20:57:41","20:55:51","sm07",""
"19/04/2024","19/04/2024","21:37:56","21:20:39","sm07",""
"19/04/2024","19/04/2024","21:50:16","21:43:34","sm07",""
"20/04/2024","20/04/2024","10:00:57","09:25:41","sm07",""
"20/04/2024","20/04/2024","10:49:15","10:03:48","sm07",""
"21/04/2024","21/04/2024","09:35:00","09:17:51","sm07",""
"21/04/2024","21/04/2024","09:47:30","09:36:50","sm07",""
"21/04/2024","21/04/2024","10:08:49","09:47:33","sm07",""
"21/04/2024","21/04/2024","10:42:19","10:25:53","sm07",""
"21/04/2024","21/04/2024","15:19:07","15:17:29","sm07",""
"21/04/2024","21/04/2024","17:24:49","17:23:57","sm07",""
"21/04/2024","21/04/2024","17:54:25","17:53:59","sm07",""
"21/04/2024","21/04/2024","20:31:34","20:03:03","sm07",""
"21/04/2024","21/04/2024","20:47:08","20:31:35","sm07",""
"21/04/2024","21/04/2024","20:52:07","20:48:40","sm07",""
"21/04/2024","21/04/2024","20:55:39","20:54:29","sm07",""
"21/04/2024","21/04/2024","20:57:14","20:56:33","sm07",""
"21/04/2024","21/04/2024","20:58:24","20:57:32","sm07",""
"21/04/2024","21/04/2024","21:00:32","20:58:44","sm07",""
"21/04/2024","21/04/2024","21:01:11","21:00:36","sm07",""
"21/04/2024","21/04/2024","21:15:23","21:13:33","sm07",""
"21/04/2024","21/04/2024","21:48:05","21:28:42","sm07",""
"21/04/2024","21/04/2024","22:18:06","21:55:37","sm07",""
"21/04/2024","21/04/2024","22:33:40","22:22:46","sm07",""
"21/04/2024","21/04/2024","22:34:47","22:34:07","sm07",""
"21/04/2024","21/04/2024","22:37:21","22:35:07","sm07",""
"21/04/2024","21/04/2024","22:44:46","22:38:47","sm07",""
"21/04/2024","21/04/2024","22:53:46","22:44:53","sm07",""
"22/04/2024","22/04/2024","08:36:08","08:22:08","sm07",""
"22/04/2024","22/04/2024","08:47:48","08:47:19","sm07",""
"22/04/2024","22/04/2024","08:51:52","08:48:57","sm07",""
